provider,provider_hotel_id,name,address,city,country,country_code,latitude,longitude,stars
expedia,11712877,Hotel Novarello,"via Dante Graziosi, 1",Granozzo con Monticello,Italy,IT,45.376678,8.583281,4
webbeds,4661835,Hotel Novarello Resort and Spa,"via Dante Graziosi, 1",NOVARA,ITALY,IT,45.376678,8.583281,4
expedia,15026652,Grand Hawaii Hotel,jl. Gatot Subroto No. 8,Pekanbaru,Indonesia,ID,0.529847,101.448226,3.5
tripcom,7023971,Grand Hawaii Hotel,"Jl. Gatot Subroto No.8, Kota Tinggi, Kec. Pekanbaru Kota",Пеканбару,Indonesia,ID,0.529588,101.448216,3
webbeds,2252385,GRAND HAWAII HOTEL,"Jl. Gatot Subroto No. 8 , Pekanbaru, RIAU Indonesia",PEKANBARU,INDONESIA,ID,0.529695,101.448235,3
dida,221208,Grand Hawaii Hotel,jl. Gatot Subroto No. 8,Pekanbaru,Indonesia,ID,0.529847,101.448226,3.5
expedia,59624474,River House,3 Ladies Walk,Inverness,Britain (UK),GB,57.469711,-4.227663,3.5
expedia,3234871,Guesthouse Pávi,Brautarholti 4,Reykjavik,Iceland,IS,64.141755,-21.910539,2.5
dida,327378,Guesthouse Pávi,Brautarholti 4,Reykjavik (and vicinity),Iceland,IS,64.141755,-21.910539,2.5
expedia,18296020,Saklı Cave House,Yukari Mahalle 105 Sokak No. 23,Avanos,Turkey,TR,38.721591,34.848538,
webbeds,4552005,Sakli Cave House,Yukari Mahalle 105 Sokak No. 23. . 50500. Avanos. . TR,AVANOS,TURKEY,TR,38.721588,34.848541,3
dida,278416,Saklı Cave House,Yukari Mahalle 105 Sokak No. 23,Avanos,Turkey,TR,38.721591,34.848538,
expedia,3196278,Hosteria El Condado by Nordic,Otamendi 206 - Villa Los Coihues,San Carlos de Bariloche,Argentina,AR,-41.163647,-71.416012,3.5
paximum,108304,El Condado Hosteria,Otamendi 206 San Carlos de Bariloche Villa Los Coihues Río Negro Patagonia,Bariloche,Argentina,AR,-41.16396,-71.41548,3
webbeds,518945,Hosteria El Condado,Otamendi-Los Coihues-Lago Gutierrez,BARILOCHE,ARGENTINA,AR,-41.163792,-71.415771,3
dida,987216,Hosteria El Condado by Nordic,Otamendi 206 - Villa Los Coihues,Bariloche (and vicinity),Argentina,AR,-41.163647,-71.416012,3.5
expedia,531882,"Country Inn & Suites by Radisson, Savannah Gateway, GA",16 Gateway Blvd East,Savannah,United States,US,32.006805,-81.278076,3
tripcom,2905908,"Country Inn & Suites by Radisson, Savannah Gateway, GA",16 Gateway Blvd E,Саванна,United States,US,32.006391,-81.277381,3
paximum,403620,"Country Inn & Suites by Carlson, Savannah Gateway",16 Gateway Boulevard East Savannah Georgia 31419,Savannah,USA,US,32.00659,-81.27767,2
webbeds,486505,COUNTRY INN SUITES BY RADISSON SAVANNAH GATEWAY GA,16 Gateway Boulevard East,SAVANNAH - GA,UNITED STATES OF AMERICA,US,32.006721,-81.277977,3
dida,22086,"Country Inn & Suites by Radisson, Savannah Gateway, GA",16 Gateway Blvd East,Savannah (and vicinity),Usa,US,32.006805,-81.278076,3
expedia,37419243,Viewtoria Resort,Dhanolti,Dhanaulti,India,IN,30.428678,78.23855,3
expedia,425216,MainStay Suites Chicago Hillside,4575 Frontage Rd,Hillside,United States,US,41.873272,-87.895458,2.5
tripcom,2906511,MainStay Suites Chicago Hillside,4575 Frontage Rd,Хилсайд,United States,US,41.87357,-87.895382,2
paximum,442368,Extended Stay America - Chicago - Hillside,,Hillside,USA,US,41.87282,-87.89565,2
webbeds,1302768,MainStay Suites Chicago Hillside,4575 Frontage Rd,HILLSIDE - IL,UNITED STATES OF AMERICA,US,41.872089,-87.893341,3
dida,674,MainStay Suites Chicago Hillside,4575 Frontage Rd,Chicago (and vicinity),Usa,US,41.873272,-87.895458,2.5
expedia,15435946,Auberge sur mer,363 Route du Fleuve,Notre-Dame-du-Portage,Canada,CA,47.783705,-69.59462,4
paximum,140774,Auberge Sur Mer,"363, Route du Fleuve Notre-Dame-du-Portage Québec G0L 1Y0",Riviere Du Loup,Canada,CA,47.77958,-69.59894,
expedia,10914769,Holiday Inn Express & Suites Pittsburgh North Shore by IHG,228 Federal St,Pittsburgh,United States,US,40.448698,-80.004279,2.5
tripcom,3729245,Holiday Inn Express & Suites PITTSBURGH NORTH SHORE by IHG,228 Federal St,Питтсбург,United States,US,40.448937,-80.004123,3
webbeds,1474868,HOLIDAY INN EXPRESS SUITES PITTSBURGH NORTH SHORE,"228 Federal St Pittsburgh, Pennsylvania 15212 United States",PITTSBURGH - PA,UNITED STATES OF AMERICA,US,40.448605,-80.004364,3
dida,1012159,Holiday Inn Express & Suites Pittsburgh North Shore by IHG,228 Federal St,Pittsburgh (and vicinity),Usa,US,40.448698,-80.004279,2.5
expedia,4645189,Hotel Route-Inn Suzuka,2-6-9 Hirata,Suzuka,Japan,JP,34.874413,136.536552,3
tripcom,703677,Hotel Route-Inn Suzuka,"Hirata, 2 Chome 69",Судзука,Japan,JP,34.874429,136.536498,3
paximum,384983,Route-Inn Suzuka,Hirata 2 chome 6-9 Suzuka 513-0844 Mie Prefecture,Suzuka,Japan,JP,34.87439,136.5366,3
